Starting training from step 0 | target 150000 steps
step     75 | loss 109.8738 | lr 1.11e-05 | tokens    4,915,200 | tok/s 15,861
step    149 | loss 49.3996 | lr 2.22e-05 | tokens    9,764,864 | tok/s 15,101
step     76 | loss 107.1533 | lr 1.12e-05 | tokens    4,980,736 | tok/s 15,799
step    150 | loss 49.0710 | lr 2.23e-05 | tokens    9,830,400 | tok/s 15,162
step     77 | loss 104.9958 | lr 1.14e-05 | tokens    5,046,272 | tok/s 15,848
step    151 | loss 48.5962 | lr 2.25e-05 | tokens    9,895,936 | tok/s 15,124
step     78 | loss 102.6245 | lr 1.15e-05 | tokens    5,111,808 | tok/s 15,840
step    152 | loss 49.2583 | lr 2.26e-05 | tokens    9,961,472 | tok/s 15,079
step     79 | loss 100.2457 | lr 1.17e-05 | tokens    5,177,344 | tok/s 15,850
step    153 | loss 48.4027 | lr 2.28e-05 | tokens   10,027,008 | tok/s 15,148
step     80 | loss 99.2313 | lr 1.18e-05 | tokens    5,242,880 | tok/s 15,895
step    154 | loss 47.6814 | lr 2.29e-05 | tokens   10,092,544 | tok/s 15,116
step     81 | loss 96.8535 | lr 1.20e-05 | tokens    5,308,416 | tok/s 15,863
step    155 | loss 47.3877 | lr 2.31e-05 | tokens   10,158,080 | tok/s 15,056
step     82 | loss 94.9017 | lr 1.21e-05 | tokens    5,373,952 | tok/s 15,772
step    156 | loss 47.8139 | lr 2.32e-05 | tokens   10,223,616 | tok/s 15,054
step     83 | loss 93.2240 | lr 1.23e-05 | tokens    5,439,488 | tok/s 15,801
step    157 | loss 47.6476 | lr 2.34e-05 | tokens   10,289,152 | tok/s 15,060
step     84 | loss 91.3521 | lr 1.24e-05 | tokens    5,505,024 | tok/s 15,891
step    158 | loss 47.4494 | lr 2.35e-05 | tokens   10,354,688 | tok/s 15,152
step     85 | loss 90.0059 | lr 1.26e-05 | tokens    5,570,560 | tok/s 15,799
step    159 | loss 47.0785 | lr 2.37e-05 | tokens   10,420,224 | tok/s 15,057
step     86 | loss 88.3119 | lr 1.27e-05 | tokens    5,636,096 | tok/s 15,851
step    160 | loss 46.8633 | lr 2.38e-05 | tokens   10,485,760 | tok/s 15,080
step     87 | loss 87.2051 | lr 1.29e-05 | tokens    5,701,632 | tok/s 15,745
step    161 | loss 46.0950 | lr 2.40e-05 | tokens   10,551,296 | tok/s 15,069
step     88 | loss 86.5452 | lr 1.30e-05 | tokens    5,767,168 | tok/s 15,863
step    162 | loss 45.8912 | lr 2.41e-05 | tokens   10,616,832 | tok/s 15,082
step     89 | loss 84.5154 | lr 1.32e-05 | tokens    5,832,704 | tok/s 15,892
step    163 | loss 47.4681 | lr 2.43e-05 | tokens   10,682,368 | tok/s 15,116
step     90 | loss 83.6528 | lr 1.33e-05 | tokens    5,898,240 | tok/s 15,862
step    164 | loss 46.4650 | lr 2.44e-05 | tokens   10,747,904 | tok/s 15,052
step     91 | loss 82.5445 | lr 1.35e-05 | tokens    5,963,776 | tok/s 15,853
step    165 | loss 45.2078 | lr 2.46e-05 | tokens   10,813,440 | tok/s 15,169
step     92 | loss 81.1113 | lr 1.36e-05 | tokens    6,029,312 | tok/s 15,874
step    166 | loss 45.8745 | lr 2.47e-05 | tokens   10,878,976 | tok/s 15,018
step     93 | loss 80.4301 | lr 1.38e-05 | tokens    6,094,848 | tok/s 15,707
step     94 | loss 79.4690 | lr 1.39e-05 | tokens    6,160,384 | tok/s 15,882
step    167 | loss 46.6039 | lr 2.49e-05 | tokens   10,944,512 | tok/s 15,147
step     95 | loss 78.3910 | lr 1.41e-05 | tokens    6,225,920 | tok/s 15,813
step    168 | loss 46.2300 | lr 2.50e-05 | tokens   11,010,048 | tok/s 15,069
step     96 | loss 77.6041 | lr 1.42e-05 | tokens    6,291,456 | tok/s 15,838
step    169 | loss 45.9082 | lr 2.52e-05 | tokens   11,075,584 | tok/s 15,098
step     97 | loss 76.3894 | lr 1.44e-05 | tokens    6,356,992 | tok/s 15,873
step    170 | loss 45.6620 | lr 2.53e-05 | tokens   11,141,120 | tok/s 15,083
step     98 | loss 74.8164 | lr 1.45e-05 | tokens    6,422,528 | tok/s 15,854
step    171 | loss 47.1829 | lr 2.55e-05 | tokens   11,206,656 | tok/s 15,077
step     99 | loss 74.1756 | lr 1.47e-05 | tokens    6,488,064 | tok/s 15,850
step    172 | loss 45.3667 | lr 2.57e-05 | tokens   11,272,192 | tok/s 15,075
step    100 | loss 73.6541 | lr 1.49e-05 | tokens    6,553,600 | tok/s 15,841
step    173 | loss 44.2379 | lr 2.58e-05 | tokens   11,337,728 | tok/s 15,055
step    101 | loss 72.3951 | lr 1.50e-05 | tokens    6,619,136 | tok/s 15,909
step    174 | loss 44.8872 | lr 2.59e-05 | tokens   11,403,264 | tok/s 15,132
step    102 | loss 72.0262 | lr 1.51e-05 | tokens    6,684,672 | tok/s 15,832
step    175 | loss 45.8182 | lr 2.61e-05 | tokens   11,468,800 | tok/s 15,124
step    103 | loss 70.5675 | lr 1.53e-05 | tokens    6,750,208 | tok/s 15,824
step    176 | loss 45.2049 | lr 2.62e-05 | tokens   11,534,336 | tok/s 15,094
step    104 | loss 70.2637 | lr 1.54e-05 | tokens    6,815,744 | tok/s 15,877
step    177 | loss 45.2557 | lr 2.64e-05 | tokens   11,599,872 | tok/s 15,134
